street_num,street_name,zip,emissions,property_type,system_size,cost,cost_reduced,break_even,energy_production,savings,emissions_reduction,trees
295,CLINTON AVENUE,11205,848382.88,Multifamily Housing,59.85,359100,80246,6,69570,14610,47899,128
325,CLINTON AVENUE,11205,1502516.45,Multifamily Housing,33.07,214955,45463,6,38845,8158,26745,71
372,DE KALB AVENUE,11205,646549.68,Multifamily Housing,58.21,349260,76925,6,66239,13910,45606,122
585,DE KALB AVENUE,11205,2887592.66,Retail,652.9,3590950,1237357,25,782900,60000,539031,1438
600,DE KALB AVENUE,11205,2408991.14,Senior Care Facility,116.27,668553,184687,7,136575,28681,94033,251
39,HALL STREET,11205,392070.09,Office,439.99,2419945,775781,8,506063,106273,348427,930
185,HALL STREET,11205,2738009.02,Multifamily Housing,87.06,500595,128001,7,103329,21699,71143,190
918,KENT AVENUE,11205,836191.31,Multifamily Housing,110.47,635203,173431,7,132466,27818,91203,243
277,MYRTLE AVENUE,11205,7551471.82,Multifamily Housing,157.24,904130,264194,8,180853,37979,124518,332
692,MYRTLE AVENUE,11205,233667.95,Other,185.05,1064038,318163,8,215103,45172,148099,395
37,NORTH ELLIOTT PLACE,11205,2033169.12,Multifamily Housing,40.13,240780,48397,6,46156,9693,31779,85
121,NORTH PORTLAND AVE,11205,7551471.82,Multifamily Housing,524.93,2887115,954064,8,603758,126789,415690,1109
235,PARK AVENUE,11205,378533.7,Warehouse (Unrefrigerated),137.94,793155,226740,8,156966,32963,108072,288
348,PARK AVENUE,11205,283977.44,Warehouse (Unrefrigerated),46.5,279000,56079,6,52345,10992,36040,96
544,PARK AVENUE,11205,2225544.49,Warehouse (Unrefrigerated),215.02,1182610,358181,8,247309,51935,170274,454
255,RYERSON STREET,11205,4908327.71,K-12 School,171.88,988310,292605,8,193485,40632,133215,355
72,SKILLMAN STREET,11205,530586.53,Multifamily Housing,45.81,274860,55247,6,52129,10947,35891,96
118,ST EDWARD'S STREET,11205,6641326.44,Multifamily Housing,279.52,1537360,477909,8,318075,66796,218996,584
21,ST JAMES PLACE,11205,2721165.7,Multifamily Housing,74.06,444360,109022,7,88806,18649,61144,163
111,STEUBEN STREET,11205,771816.33,Multifamily Housing,27.13,176345,37297,7,31204,6553,21484,57
225,STEUBEN STREET,11205,3342825.19,K-12 School,415.36,2284480,730062,8,482816,101391,332421,887
213,TAAFFE PLACE,11205,1036988.34,Multifamily Housing,87.92,505540,129670,7,100047,21010,68883,184
226,TAAFFE PLACE,11205,1603069.29,Multifamily Housing,123.74,711505,199183,7,145350,30523,100074,267
227,TAAFFE PLACE,11205,1666121.5,Multifamily Housing,68.29,409740,97337,7,79381,16670,54654,146
18,WARSOFF PLACE,11205,207388.85,Other,256.61,1411355,435382,8,310844,60000,214018,571
54,WASHINGTON AVENUE,11205,287725.3,K-12 School,92.05,529288,137685,7,105873,22233,72894,194
266,WASHINGTON AVENUE,11205,1323479.05,Multifamily Housing,86.11,495133,126157,7,103256,21684,71092,190
277,WASHINGTON AVENUE,11205,450338.26,Multifamily Housing,36.77,239005,50550,7,42292,8881,29118,78
295,WASHINGTON AVENUE,11205,781097.79,Multifamily Housing,29.54,192010,40610,7,33976,7135,23393,62
39,WAVERLY AVENUE,11205,1741012.53,Multifamily Housing,127.88,735310,207217,7,150213,31545,103422,276
215,WILLOUGHBY AVENUE,11205,3128072.9,Residence Hall/Dormitory,146.39,841743,243138,8,168373,35358,115926,309
382,WILLOUGHBY AVENUE,11205,301482.14,Multifamily Housing,31.61,205465,43456,6,36744,7716,25298,68
102,BARTLETT STREET,11206,397140.72,K-12 School,79.83,478980,120706,7,91818,19282,63217,169
54,BOERUM STREET,11206,3423558.47,Multifamily Housing,189.09,1087268,326003,8,222113,46644,152926,408
91,BOERUM STREET,11206,1821613.53,Multifamily Housing,69.15,414900,99079,7,81226,17058,55925,149
72,BOGART STREET,11206,556005.82,Other,123.31,709033,198349,7,150880,31685,103882,277
533,BUSHWICK AVENUE,11206,1014413.01,Multifamily Housing,110.91,637733,174285,7,131636,27644,90632,242
43,CENTRAL AVENUE,11206,880879.01,Multifamily Housing,56.32,337920,73098,6,66845,14037,46023,123
63,CENTRAL AVENUE,11206,690818.5,Multifamily Housing,25.92,168480,35634,7,29178,6127,20089,54
80,EVERGREEN AVENUE,11206,871884.15,Warehouse (Unrefrigerated),535.44,2944920,977330,8,642052,134831,442056,1180
95,EVERGREEN AVENUE,11206,724130.35,Other,121.5,698625,194836,7,142719,29971,98263,262
105,EVERGREEN AVENUE,11206,274872.35,Warehouse (Unrefrigerated),390.08,2145440,683136,15,477295,60000,328620,877
930,FLUSHING AVENUE,11206,1407805.87,Warehouse (Unrefrigerated),1528.22,7641100,2867543,25+,1851206,60000,1274564,3401
10,FORREST STREET,11206,1158617.37,Multifamily Housing,58.99,353940,78505,6,68570,14400,47211,126
10,GRAHAM AVENUE,11206,239686.57,Retail,152.42,876415,254840,8,173444,36423,119417,319
84,HUMBOLDT STREET,11206,1091354.34,Multifamily Housing,57.61,345660,75710,6,69786,14655,48048,128
29,LEONARD STREET,11206,7182792.77,Multifamily Housing,150.87,867503,251832,8,179064,37603,123286,329
95,LEWIS AVENUE,11206,1713609.07,Multifamily Housing,35.99,233935,49477,6,43596,9155,30016,80
391,LORIMER STREET,11206,1102642,Multifamily Housing,102.64,590180,158236,7,120565,25319,83010,221
33,MARCUS GARVEY BLVD,11206,9822266.18,Multifamily Housing,266.77,1467235,454242,8,310095,65120,213502,570
475,MARCY AVENUE,11206,2936380.96,Other,269.96,1484780,460163,8,297287,62430,204683,546
248,MC KIBBIN STREET,11206,1204760.12,Multifamily Housing,153.81,884408,257538,7,186317,39127,128280,342
255,MC KIBBIN STREET,11206,5884644.84,Multifamily Housing,123.91,712483,199513,7,151614,31839,104387,279
